sample_id	hto	hash_id	cells_loaded	donor	processing_batch	experiment	chemistry	hto_panel	adt_panel
OCRZ011-C	HTO_04	4	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-C	HTO_05	5	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-A	HTO_01	1	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-A	HTO_02	2	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-A	HTO_03	3	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-A	HTO_04	4	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-A	HTO_05	5	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-B	HTO_01	1	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-B	HTO_02	2	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-B	HTO_03	3	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-B	HTO_04	4	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-B	HTO_05	5	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-C	HTO_01	1	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-C	HTO_02	2	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-C	HTO_03	3	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-C	HTO_04	4	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ013-C	HTO_05	5	3000	OCRZ013	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-D	HTO_01	1	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-D	HTO_02	2	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-D	HTO_03	3	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-D	HTO_04	4	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-D	HTO_05	5	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-E	HTO_01	1	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-E	HTO_02	2	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-E	HTO_03	3	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-E	HTO_04	4	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-E	HTO_05	5	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-F	HTO_01	1	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-F	HTO_02	2	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-F	HTO_03	3	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-F	HTO_04	4	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ014-F	HTO_05	5	3000	OCRZ014	BC-004	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-A	HTO_01	1	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-A	HTO_02	2	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-A	HTO_03	3	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-A	HTO_04	4	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-A	HTO_05	5	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-B	HTO_01	1	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-B	HTO_02	2	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-B	HTO_03	3	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-B	HTO_04	4	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-B	HTO_05	5	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-C	HTO_01	1	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-C	HTO_02	2	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-C	HTO_03	3	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-C	HTO_04	4	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ019-C	HTO_05	5	3000	OCRZ019	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-D	HTO_01	1	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-D	HTO_02	2	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-D	HTO_03	3	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-D	HTO_04	4	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-D	HTO_05	5	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-E	HTO_01	1	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-E	HTO_02	2	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-E	HTO_03	3	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-E	HTO_04	4	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-E	HTO_05	5	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-F	HTO_01	1	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-F	HTO_02	2	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-F	HTO_03	3	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-F	HTO_04	4	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ023-F	HTO_05	5	3000	OCRZ023	BC-005	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-A	HTO_01	1	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-A	HTO_06	2	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-A	HTO_07	3	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-A	HTO_08	4	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-B	HTO_01	1	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-B	HTO_06	2	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-B	HTO_07	3	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-B	HTO_08	4	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-C	HTO_01	1	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-C	HTO_06	2	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-C	HTO_07	3	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ012-C	HTO_08	4	4000	OCRZ012	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-D	HTO_01	1	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-D	HTO_06	2	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-D	HTO_07	3	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-D	HTO_08	4	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-E	HTO_01	1	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-E	HTO_06	2	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-E	HTO_07	3	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-E	HTO_08	4	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-F	HTO_01	1	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-F	HTO_06	2	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-F	HTO_07	3	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ022-F	HTO_08	4	4000	OCRZ022	BC-006	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
